source,target,corr,abs_corr,sign,weight,period
BTC-USD,TSLA,0.46153991477004724,0.46153991477004724,+,0.46153991477004724,Post-Crisis (2022)
BTC-USD,UNH,0.26574956230909097,0.26574956230909097,+,0.26574956230909097,Post-Crisis (2022)
BTC-USD,WMT,0.14120013075141427,0.14120013075141427,+,0.14120013075141427,Post-Crisis (2022)
BTC-USD,XOM,0.21852133231349252,0.21852133231349252,+,0.21852133231349252,Post-Crisis (2022)
CPALL.BK,CPN.BK,0.4918588686658703,0.4918588686658703,+,0.4918588686658703,Post-Crisis (2022)
CPALL.BK,CVX,0.10917448111178693,0.10917448111178693,+,0.10917448111178693,Post-Crisis (2022)
CPALL.BK,GLD,-0.0029330993148533827,0.0029330993148533827,-,0.0029330993148533827,Post-Crisis (2022)
CPALL.BK,GOOGL,0.1193099017150655,0.1193099017150655,+,0.1193099017150655,Post-Crisis (2022)
CPALL.BK,GULF.BK,0.3175553019369826,0.3175553019369826,+,0.3175553019369826,Post-Crisis (2022)
CPALL.BK,JNJ,0.13451491292246,0.13451491292246,+,0.13451491292246,Post-Crisis (2022)
CPALL.BK,JPM,0.28776909818973057,0.28776909818973057,+,0.28776909818973057,Post-Crisis (2022)
CPALL.BK,KBANK.BK,0.2940747220405029,0.2940747220405029,+,0.2940747220405029,Post-Crisis (2022)
CPALL.BK,KTB.BK,0.21695296475074025,0.21695296475074025,+,0.21695296475074025,Post-Crisis (2022)
CPALL.BK,META,0.11805543615997388,0.11805543615997388,+,0.11805543615997388,Post-Crisis (2022)
CPALL.BK,MSFT,0.12753151475943314,0.12753151475943314,+,0.12753151475943314,Post-Crisis (2022)
CPALL.BK,NVDA,0.12766135729939793,0.12766135729939793,+,0.12766135729939793,Post-Crisis (2022)
CPALL.BK,PTT.BK,0.22410363080815612,0.22410363080815612,+,0.22410363080815612,Post-Crisis (2022)
CPALL.BK,PTTEP.BK,-0.03059080855173333,0.03059080855173333,-,0.03059080855173333,Post-Crisis (2022)
CPALL.BK,PTTGC.BK,0.28636493990221,0.28636493990221,+,0.28636493990221,Post-Crisis (2022)
CPALL.BK,SCB.BK,0.2106396562308061,0.2106396562308061,+,0.2106396562308061,Post-Crisis (2022)
CPALL.BK,SCC.BK,0.3796715379736788,0.3796715379736788,+,0.3796715379736788,Post-Crisis (2022)
CPALL.BK,TRUE.BK,0.14430544414809282,0.14430544414809282,+,0.14430544414809282,Post-Crisis (2022)
CPALL.BK,TSLA,0.10720250884107659,0.10720250884107659,+,0.10720250884107659,Post-Crisis (2022)
CPALL.BK,UNH,0.19642706729450066,0.19642706729450066,+,0.19642706729450066,Post-Crisis (2022)
